# 跨数据集汇总的信号装帧映射表，用于查看每个信号实例被打包到哪个 CANFD 帧。
# 同一 code 在 foundation / baseline1 中可能出现多次，对应新增副本或同源备份。
# baseline2 不新增副本，因此通常每个 code 只有 1 条映射记录。

[signal_frame_mapping]
dataset	scheme	code	message_id	signal_instance_index	signal_instance_count	is_added_copy	frame_id	frame_priority	frame_period_ms	frame_deadline_ms	frame_offset_ms	frame_trans_time_ms	frame_payload_bytes	frame_message_count	signal_period_ms	signal_deadline_ms	asil	level	type	src_ecu	dst_ecu
E12S200_12ecu_200signals_001	foundation	2163097296	80	1	1	0	109	45	10	10	0	0.039600000000000003	1	2	10	10	A	0	0	8	3
E12S200_12ecu_200signals_001	foundation	2232018882	101	1	1	0	34	89	20	20	0	0.039600000000000003	1	1	20	20	A	0	0	8	1
E12S200_12ecu_200signals_001	foundation	2245769264	11	1	2	0	91	37	10	10	0	0.039600000000000003	1	2	20	20	B	1	0	1	5
E12S200_12ecu_200signals_001	foundation	2245769264	11	2	2	1	92	38	10	10	1.8072000000021262	0.039600000000000003	1	2	20	20	B	1	0	1	5
E12S200_12ecu_200signals_001	foundation	2255662782	158	1	1	0	51	26	10	10	0	0.039600000000000003	1	2	10	10	A	0	0	6	2
E12S200_12ecu_200signals_001	foundation	2273133158	162	1	1	0	201	6	1	1	0	0.039600000000000003	1	2	1	1	A	0	0	1	2
E12S200_12ecu_200signals_001	foundation	2276955992	41	1	2	0	145	159	100	100	0	0.039600000000000003	1	1	100	100	C	2	0	3	8
E12S200_12ecu_200signals_001	foundation	2276955992	41	2	2	1	205	174	100	100	9.427200000001676	0.039600000000000003	1	1	100	100	C	2	0	3	8
E12S200_12ecu_200signals_001	foundation	2283644403	125	1	1	0	101	8	2	2	0	0.039600000000000003	1	1	2	2	A	0	0	0	2
E12S200_12ecu_200signals_001	foundation	2309962926	69	1	1	0	198	172	100	100	0	0.039600000000000003	1	1	100	100	A	0	0	4	6
E12S200_12ecu_200signals_001	foundation	2345002126	170	1	1	0	63	10	5	5	0	0.039600000000000003	1	1	5	5	A	0	0	0	1
